Time,N,Answer,Ratio,Type
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.2,10,21419,1,exact
2.28,11,13631,1,exact
24.85,12,30080,1,exact
317.19,13,22912,1,exact
4373.38,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.2,10,21419,1,exact
2.1,11,13631,1,exact
26.39,12,30080,1,exact
330.11,13,22912,1,exact
4521.24,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.04,9,14161,1,exact
0.22,10,21419,1,exact
2.09,11,13631,1,exact
25.6,12,30080,1,exact
328.79,13,22912,1,exact
4548.42,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.2,10,21419,1,exact
2.09,11,13631,1,exact
24.88,12,30080,1,exact
325.9,13,22912,1,exact
4745.63,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.22,10,21419,1,exact
2.15,11,13631,1,exact
24.79,12,30080,1,exact
328.02,13,22912,1,exact
4727.47,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.2,10,21419,1,exact
2.23,11,13631,1,exact
25.18,12,30080,1,exact
329.21,13,22912,1,exact
4531.49,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.21,10,21419,1,exact
2.06,11,13631,1,exact
25.82,12,30080,1,exact
321.4,13,22912,1,exact
4682.4,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.2,10,21419,1,exact
2.06,11,13631,1,exact
24.37,12,30080,1,exact
316.01,13,22912,1,exact
4398.35,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.21,10,21419,1,exact
2.13,11,13631,1,exact
